172.17.0.1 - - [09/Dec/2019:02:35:43 +0000] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.000"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:35:43 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:02:36:49 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03V)\x9CGVA\xF0q\x99\xFE\x9A\xC0\xA6P\xF9\x1C\xEA\xC8\xC7\x7F<;\x82v\xC7EZ\x8D\xEC?\x98\x06 \x98\xED\x91f/M\xAA\xB7\xCC*\x00\xAD\xC2\x81P\xCE\xFD\xB9\xBF\xCF\x9A\xCB4\xBA}\x12J\xE3\xAF\x95#\xD4\x00\x22\x1A\x1A\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x00" 400 157 "-" "-" "-" -"/work/aplum_www/web" "-"
172.17.0.1 - - [09/Dec/2019:02:36:49 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\x93\xB0vHB\xD4\x00&\x08X\x8D\x8B\xA3\x1F" 400 157 "-" "-" "-" -"/work/aplum_www/web" "-"
172.17.0.1 - - [09/Dec/2019:02:36:56 +0000] "GET / HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.010"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:37:53 +0000] "GET /README.md HTTP/1.1" 502 559 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.010"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:40:39 +0000] "GET /README.md HTTP/1.1" 500 98251 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 60.563"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:40:40 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/README.md" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:02:44:56 +0000] "GET /README.md HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.440"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:44:56 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/README.md" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:02:45:59 +0000] "GET /README.md HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.580"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:45:59 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/README.md" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:02:46:48 +0000] "GET / HTTP/1.1" 500 98218 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.470"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:49:47 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.510"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:02:49:47 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:26:54 +0000] "GET / HTTP/1.1" 500 98218 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.340"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:27:11 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.390"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:27:11 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:31:26 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.410"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:31:26 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:32:23 +0000] "GET / HTTP/1.1" 500 98227 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.500"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:32:24 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:03:33:36 +0000] "GET / HTTP/1.1" 500 98226 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.310"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:03:33:36 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
